2023-11-21 09:40:58,633 - INFO - Config:
data:
  train:
    info_path: "./dataset/train"
    batch_size: 250
    num_workers: 0
    shuffle: True
  val:
    info_path: "./dataset/val"
    batch_size: 5
    num_workers: 0
    shuffle: True

optimizer:
  type: 'Adam'
  lr: 0.004  

checkpoint: 

epoch: 128
val_epoch: 50
step_epoch: 20
work_dir: "./work_dir"

2023-11-21 09:41:30,245 - INFO - Epoch [4/128][15/20], lr:0.004, eta: 0:18:04, data_time: 0.21, iter_time: 0.22, loss: 0.7293
2023-11-21 09:41:30,542 - INFO - Epoch [4/128][16/20], lr:0.004, eta: 0:18:01, data_time: 0.21, iter_time: 0.22, loss: 0.0336
2023-11-21 09:41:30,852 - INFO - Epoch [4/128][17/20], lr:0.004, eta: 0:18:03, data_time: 0.22, iter_time: 0.23, loss: 0.1664
2023-11-21 09:41:31,157 - INFO - Epoch [4/128][18/20], lr:0.004, eta: 0:18:02, data_time: 0.21, iter_time: 0.22, loss: 0.2572
2023-11-21 09:41:31,447 - INFO - Epoch [4/128][19/20], lr:0.004, eta: 0:17:58, data_time: 0.20, iter_time: 0.21, loss: 0.0357
2023-11-21 09:41:31,744 - INFO - Epoch [4/128][20/20], lr:0.004, eta: 0:17:56, data_time: 0.21, iter_time: 0.21, loss: 0.0317
2023-11-21 09:41:32,098 - INFO - Epoch [5/128][1/20], lr:0.004, eta: 0:18:10, data_time: 0.22, iter_time: 0.22, loss: 0.0272
2023-11-21 09:41:32,392 - INFO - Epoch [5/128][2/20], lr:0.004, eta: 0:17:40, data_time: 0.21, iter_time: 0.21, loss: 0.0203
2023-11-21 09:41:32,684 - INFO - Epoch [5/128][3/20], lr:0.004, eta: 0:17:27, data_time: 0.20, iter_time: 0.21, loss: 0.0195
2023-11-21 09:41:32,987 - INFO - Epoch [5/128][4/20], lr:0.004, eta: 0:17:35, data_time: 0.22, iter_time: 0.22, loss: 0.0163
2023-11-21 09:41:33,287 - INFO - Epoch [5/128][5/20], lr:0.004, eta: 0:17:34, data_time: 0.21, iter_time: 0.21, loss: 0.0128
2023-11-21 09:41:33,590 - INFO - Epoch [5/128][6/20], lr:0.004, eta: 0:17:38, data_time: 0.22, iter_time: 0.22, loss: 0.0117
